Maynerd,-5.33,5.56,0.0,1.0
Yaneverknow,-5.33,7.14,0.0,1.0
hochangishwong,-5.33,25.0,0.0,1.0
Whatjakesaid,-5.33,50.0,0.0,1.0
Hyenahaha,-5.33,100.0,0.0,1.0
TraderGermany,-5.33,14.29,0.0,1.0
bigballervegas1856,-5.33,0.81,0.0,1.0
bogtrading,-5.33,0.46,0.0,1.0
Sharesholder,-5.59,33.33,7.0,2.0
daveofva,-5.7,30.77,4.0,4.0
passiontrader1,-5.77,14.89,3.0,4.0
KEB585,-5.9,41.18,4.0,3.0
3rdBass,-6.04,0.6,0.0,1.0
Mr000,-6.04,8.33,0.0,1.0
flashkamal,-6.04,9.09,0.0,1.0
Kosrae,-6.04,50.0,0.0,1.0
Hossway,-6.04,100.0,0.0,1.0
wwheeler89,-6.04,50.0,0.0,1.0
Jcrumb81,-6.04,12.5,0.0,1.0
oscarbazar,-6.15,2.86,1.0,1.0
SV1M,-6.49,0.74,0.0,1.0
DaBeavzz65,-6.49,3.23,0.0,1.0
chiefsmurph,-6.5,100.0,0.0,2.0
gm5cklee,-6.71,22.22,0.0,2.0
GTGC,-6.77,2.27,0.0,1.0
Pafist,-6.77,1.64,0.0,1.0
Bully310,-6.86,1.37,1.0,2.0
artguz,-7.63,3.08,0.0,2.0
Cybertekmktg,-8.47,25.0,0.0,2.0
EzWin,-8.54,50.0,0.0,2.0
memccarty,-9.05,37.5,1.0,2.0
treycrittenden,-9.21,71.43,2.0,3.0
WhiteLlama,-9.42,60.0,0.0,3.0
Rockdeboat,-11.35,4.55,0.0,1.0
BulletKotH,-11.37,4.35,0.0,2.0
Volseeker,-11.7,7.32,1.0,2.0
Therashaver,-12.08,22.22,0.0,2.0
nickibarra6,-12.08,40.0,0.0,2.0
Dman20200,-12.55,0.83,0.0,6.0
Neefa42,-12.78,8.89,1.0,3.0
ACInvestorBlog,-12.79,0.91,5.0,5.0
Rikkard12,-12.99,33.33,0.0,2.0
jsmith14,-13.1,12.5,0.0,3.0
HonchoGainz,-13.41,4.27,2.0,3.0
Burnedout,-13.56,42.86,0.0,3.0
Bulls2theWalls,-13.61,100.0,3.0,5.0
